n: 20	p: 2
FO:	45954.152344
HUBS:	[6, 16]
OR	H1	H2	DS	CUSTO
0	6	6	0	45954.152344
0	6	6	1	41919.375000
0	6	6	2	32979.476563
0	6	6	3	44662.703125
0	6	6	4	37665.390625
0	6	6	5	28677.406250
0	6	6	6	22977.076172
0	6	6	7	32678.457031
0	6	6	8	38698.257813
0	6	6	9	30178.902344
0	6	6	10	31033.359375
0	6	6	11	36858.199219
0	6	6	12	40306.722656
0	6	6	13	39515.914063
0	6	6	14	37620.628906
0	6	6	15	38387.863281
0	16	16	16	32953.050781
0	6	6	17	44562.218750
0	6	6	18	41431.183594
0	6	6	19	41526.937500
1	6	6	0	41919.375000
1	6	6	1	37884.601563
1	6	6	2	28944.699219
1	6	6	3	40627.925781
1	6	6	4	33630.617188
1	6	6	5	24642.632813
1	6	6	6	18942.300781
1	6	6	7	28643.679688
1	6	6	8	34663.480469
1	6	6	9	26144.126953
1	6	6	10	26998.583984
1	6	6	11	32823.425781
1	6	6	12	36271.945313
1	6	6	13	35481.140625
1	6	6	14	33585.855469
1	6	6	15	34353.085938
1	16	16	16	39186.632813
1	6	6	17	40527.445313
1	6	6	18	37396.406250
1	6	6	19	37492.164063
2	6	6	0	32979.476563
2	6	6	1	28944.699219
2	6	6	2	20004.796875
2	6	6	3	31688.023438
2	6	6	4	24690.714844
2	6	6	5	15702.729492
2	6	6	6	10002.398438
2	6	6	7	19703.777344
2	6	6	8	25723.578125
2	6	6	9	17204.224609
2	6	6	10	18058.681641
2	6	6	11	23883.523438
2	6	6	12	27332.044922
2	6	6	13	26541.238281
2	6	6	14	24645.953125
2	6	6	15	25413.185547
2	6	16	16	31717.218750
2	6	6	17	31587.542969
2	6	6	18	28456.505859
2	6	6	19	28552.259766
3	6	6	0	44662.703125
3	6	6	1	40627.925781
3	6	6	2	31688.023438
3	6	6	3	43371.250000
3	6	6	4	36373.941406
3	6	6	5	27385.957031
3	6	6	6	21685.625000
3	6	6	7	31387.003906
3	6	6	8	37406.804688
3	6	6	9	28887.451172
3	6	6	10	29741.908203
3	6	6	11	35566.750000
3	6	6	12	39015.273438
3	6	6	13	38224.464844
3	6	6	14	36329.179688
3	6	6	15	37096.414063
3	6	16	16	43400.445313
3	6	6	17	43270.769531
3	6	6	18	40139.734375
3	6	6	19	40235.484375
4	6	6	0	37665.390625
4	6	6	1	33630.617188
4	6	6	2	24690.714844
4	6	6	3	36373.941406
4	6	6	4	29376.630859
4	6	6	5	20388.646484
4	6	6	6	14688.315430
4	6	6	7	24389.695313
4	6	6	8	30409.496094
4	6	6	9	21890.140625
4	6	6	10	22744.597656
4	6	6	11	28569.439453
4	16	16	12	30749.097656
4	6	6	13	31227.156250
4	6	6	14	29331.869141
4	6	6	15	30099.101563
4	16	16	16	19019.167969
4	16	16	17	31226.814453
4	6	6	18	33142.421875
4	6	6	19	33238.175781
5	6	6	0	28677.406250
5	6	6	1	24642.632813
5	6	6	2	15702.729492
5	6	6	3	27385.957031
5	6	6	4	20388.646484
5	6	6	5	11400.662109
5	6	6	6	5700.331055
5	6	6	7	15401.710938
5	6	6	8	21421.511719
5	6	6	9	12902.157227
5	6	6	10	13756.613281
5	6	6	11	19581.455078
5	6	6	12	23029.976563
5	6	6	13	22239.171875
5	6	6	14	20343.884766
5	6	6	15	21111.117188
5	16	16	16	26912.255859
5	6	6	17	27285.476563
5	6	6	18	24154.437500
5	6	6	19	24250.191406
6	6	6	0	22977.076172
6	6	6	1	18942.300781
6	6	6	2	10002.398438
6	6	6	3	21685.625000
6	6	6	4	14688.315430
